dt	company	stockValue	sentiment	keywords	ref
2/25/2018	Amazon	1500	0.153333333	['fight', 'netflix', 'wright', 'looming', 'puts', 'tower', 'hulu', 'mr', 'series', 'million', 'futterman', 'amazon', 'apple', 'disney']	https://www.nytimes.com/2018/02/25/business/media/hulu-puts-up-a-fight-against-netflix-amazon-and-apple.html
3/2/2018	Amazon	1,500.25	0.142857143	['consumers', 'using', 'voice', 'smart', 'dominates', 'selection', 'value', 'amazon', 'speaker', 'heading', 'shopping', 'speakers', '40', 'billion']	https://www.mediapost.com/publications/article/315391/voice-shopping-heading-to-40-billion-amazon-domi.html
3/2/2018	Amazon	1,500.25	0.1	['states', 'lawmakers', 'state', 'georgia', 'company', 'republican', 'bid', 'threaten', 'delta', 'amazon', 'georgias', 'conservative', 'atlanta', 'electionyear', 'politics']	https://www.myajc.com/news/state--regional-govt--politics/election-year-politics-threatens-georgia-bid-for-amazon/Bjm7WOGOfPMtepI0yEw7DM/
3/2/2018	Amazon	1,500.25	0.1125	['customers', 'amazon', 'today', 'returns', 'stocks', 'outlook', 'zacks', 'industry', 'aid', 'retail', 'walmart', 'sector', 'rite', 'research', 'investment', 'retailers', 'highlights', 'target']	https://www.nasdaq.com/article/zacks-industry-outlook-highlights-amazon-l-brands-zumiez-costco-wholesale-and-buckle-cm929282
3/5/2018	Amazon	1,495.00	0.122727273	['customers', 'amazon', 'bank', 'company', 'jpmorgan', 'retail', 'big', 'wants', 'chase', 'prime', 'checking']	http://money.cnn.com/2018/03/05/investing/amazon-jpmorgan-chase-banks-checking-accounts/index.html
3/5/2018	Amazon	1,518.75	0.13125	['enterprise', 'services', 'aws', 'va', 'hit', 'pst', 'outage', 'direct', 'service', 'network', 'connect', 'review', 'hundreds', 'cloud', 'reportedly', 'virtualization']	https://virtualizationreview.com/articles/2018/03/05/aws-outage.aspx
3/7/2018	Amazon	1,537.64	-0.002777778	['salvo', 'targets', 'war', 'shoppersthe', 'signed', 'recipients', 'used', 'walmart', 'lowincome', 'program', 'shoppers', 'widens', 'membership', 'medicaid', 'yearby', 'amazon', 'prime', 'typically']	https://www.wsj.com/articles/amazon-widens-war-with-walmart-for-low-income-shoppers-1520431203
3/7/2018	Amazon	1,544.90	0.26	['saying', 'potential', 'billion', 'efforts', 'negotiations', 'maryland', 'leaders', 'county', 'mum', 'montgomery', 'hogan', 'amazon', 'wtop', 'state']	https://wtop.com/montgomery-county/2018/03/maryland-leaders-keep-mum-amazon-negotiations/
3/9/2018	Amazon	1,569.75	0.1	['representatives', 'finalists', 'amazons', 'dinners', 'washington', 'hq2', 'city', 'cities', 'tours', 'mayor', 'amazon', 'meets', 'headquarters']	http://money.cnn.com/2018/03/09/technology/amazon-hq2-update/index.html
3/10/2018	Amazon	1,578.89	0.641414141	['york', 'room', 'ceo', 'joly', 'consumer', 'compete', 'turnaround', 'market', 'sales', 'buy', 'business', 'retailers', 'best', 'amazon', 'website']	https://www.reuters.com/article/us-best-buy-ceo/best-buy-ceo-says-turnaround-done-room-to-compete-with-amazon-idUSKCN1GL2Y8
3/12/2018	Amazon	1,592.00	-0.083333333	['calls', 'lets', 'alexaenabled', 'app', 'place', 'users', 'tablets', 'today', 'amazon', 'alexa', 'mode', 'handsfree']	https://www.theverge.com/2018/3/12/17109418/amazon-alexa-calls-messages-tablets-fire-ipads
3/12/2018	Amazon	1,601.44	0.5	['eks', 'kindness', 'subramanian', 'fargate', 'container', 'aws', 'developer', 'service', 'kill', 'amazon', 'running', 'kubernetes', 'cloud']	https://www.techrepublic.com/article/how-amazon-could-kill-kubernetes-with-developer-kindness/
3/12/2018	Amazon	1,598.50	-0.015	['saw', 'accenture', 'placements', 'placement', 'final', 'included', 'management', 'iima', 'bcg', 'offers', 'students', 'companies', 'amazon', 'wraps', 'cohort', 'recruiters']	http://www.business-standard.com/article/current-affairs/accenture-bcg-amazon-top-recruiters-as-at-iim-a-final-placements-118031200795_1.html
3/13/2018	Amazon	1,591.59	-0.08	['employee', '19', 'warrant', 'san', 'threat', 'county', 'caldwell', 'terroristic', 'texas', 'rifles', 'amazon', 'hawkins', 'arrest', 'bond', 'terrorist']	http://www.kvue.com/article/news/local/amazon-employee-19-out-on-bond-after-arrest-for-terrorist-threat/269-527986281
3/13/2018	Amazon	1,616.56	0.247835498	['announced', 'release', 'echo', 'updated', 'notifications', 'audio', 'detection', 'users', 'twoway', 'cam', 'voice', 'control', 'amazon', 'alexa', 'cloud']	https://www.techrepublic.com/article/amazon-cloud-cam-updated-with-alexa-voice-control-two-way-audio-and-more/
3/13/2018	Amazon	1,588.13	0.298051948	['age', 'efficiency', 'company', 'know', 'amazon', 'journey', 'survival', 'experience', 'good', 'content', 'retailers', 'customer', 'user', 'question', 'understand', 'measure']	http://www.zdnet.com/article/for-retailers-in-the-age-of-amazon-user-experience-is-a-question-of-survival/
3/13/2018	Amazon	1,591.59	0.049337121	['wages', 'twoday', 'reduce', 'rights', 'unions', 'union', 'held', 'strike', 'spains', 'day', 'amazon', 'spain', 'madrid', 'ccoo', 'workers']	http://kfgo.com/news/articles/2018/mar/13/spains-amazon-workers-call-two-day-strike-over-wages-rights/
2/26/2018	Apple	175.5	-0.011820478	['apples', 'different', 'development', 'china', 'cook', 'worlds', 'business', 'lesson', 'forum', 'venue', 'wrestle', 'think', 'underscoring', 'tough']	https://www.wsj.com/articles/apples-china-lesson-think-different-but-not-too-different-1519642914
