dt,stock,stock_ID,stockValue
2/21/2018,Amazon,AMZN,1491.91
2/21/2018,Apple,AAPL,173.20
2/21/2018,Google,GOOGL,1122.98
2/21/2018,IBM,IBM,156.50
2/21/2018,Intel,intel,46.56
2/21/2018,Microsoft,MSFT,93.23
2/21/2018,Amazon,AMZN,1482.92
2/21/2018,Apple,AAPL,171.07
2/21/2018,Google,GOOGL,1113.75
2/21/2018,IBM,IBM,153.96
2/21/2018,Intel,intel,45.94
2/21/2018,Microsoft,MSFT,91.49
2/22/2018,Amazon,AMZN,1495.54
2/22/2018,Apple,AAPL,172.76
2/22/2018,Google,GOOGL,1115.61
2/22/2018,IBM,IBM,154.19
2/22/2018,Intel,intel,46.45
2/22/2018,Microsoft,MSFT,92.20
2/25/2018,Amazon,AMZN,1500.00
2/25/2018,Apple,AAPL,175.50
2/25/2018,Google,GOOGL,1128.09
2/25/2018,IBM,IBM,155.52
2/25/2018,Intel,intel,47.73
2/25/2018,Microsoft,MSFT,94.06
2/25/2018,Amazon,AMZN,1500.00
2/25/2018,Apple,AAPL,175.50
2/25/2018,Google,GOOGL,1128.09
2/25/2018,IBM,IBM,155.52
2/25/2018,Intel,intel,47.73
2/25/2018,Microsoft,MSFT,94.06
2/26/2018,Amazon,AMZN,1500.00
2/26/2018,Apple,AAPL,175.50
2/26/2018,Google,GOOGL,1128.09
2/26/2018,IBM,IBM,155.52
2/26/2018,Intel,intel,47.73
2/26/2018,Microsoft,MSFT,94.06
2/26/2018,Amazon,AMZN,1521.95
2/26/2018,Apple,AAPL,178.97
2/26/2018,Google,GOOGL,1143.70
2/26/2018,IBM,IBM,158.58
2/26/2018,Intel,intel,49.11
2/26/2018,Microsoft,MSFT,95.42
2/27/2018,Amazon,AMZN,1521.95
2/27/2018,Apple,AAPL,178.97
2/27/2018,Google,GOOGL,1143.70
2/27/2018,IBM,IBM,158.58
2/27/2018,Intel,intel,49.45
2/27/2018,Microsoft,MSFT,95.73
2/27/2018,Amazon,AMZN,1512.00
2/27/2018,Apple,AAPL,178.39
2/27/2018,Google,GOOGL,1117.16
2/27/2018,IBM,IBM,156.53
2/27/2018,Intel,intel,49.91
2/27/2018,Microsoft,MSFT,94.20
2/28/2018,Amazon,AMZN,1511.98
2/28/2018,Apple,AAPL,178.39
2/28/2018,Google,GOOGL,1117.51
2/28/2018,IBM,IBM,156.55
2/28/2018,Intel,intel,49.91
2/28/2018,Microsoft,MSFT,94.20
2/28/2018,Amazon,AMZN,1512.45
2/28/2018,Apple,AAPL,178.12
2/28/2018,Google,GOOGL,1103.92
2/28/2018,IBM,IBM,155.81
2/28/2018,Intel,intel,49.29
2/28/2018,Microsoft,MSFT,93.77
3/1/2018,Amazon,AMZN,1512.45
3/1/2018,Apple,AAPL,178.12
3/1/2018,Google,GOOGL,1103.92
